,title,year,country,style,rating_num,evaluate_num,quote,href
0,肖申克的救赎,1994,美国,犯罪 剧情,9.7,2587809,希望让人自由。,https://movie.douban.com/subject/1292052/
1,霸王别姬,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,1921783,风华绝代。,https://movie.douban.com/subject/1291546/
2,阿甘正传,1994,美国,剧情 爱情,9.5,1944546,一部美国近现代史。,https://movie.douban.com/subject/1292720/
3,泰坦尼克号,1997,美国 墨西哥 澳大利亚 加拿大,剧情 爱情 灾难,9.4,1905861,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/
4,这个杀手不太冷,1994,法国 美国,剧情 动作 犯罪,9.4,2099488,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
5,美丽人生,1997,意大利,剧情 喜剧 爱情 战争,9.6,1194548,最美的谎言。,https://movie.douban.com/subject/1292063/
6,千与千寻,2001,日本,剧情 动画 奇幻,9.4,2023472,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/
7,辛德勒的名单,1993,美国,剧情 历史 战争,9.6,996164,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/
8,盗梦空间,2010,美国 英国,剧情 科幻 悬疑 冒险,9.4,1865590,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
9,忠犬八公的故事,2009,美国 英国,剧情,9.4,1277388,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/
10,星际穿越,2014,美国 英国 加拿大,剧情 科幻 冒险,9.4,1551224,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/
11,楚门的世界,1998,美国,剧情 科幻,9.3,1472922,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/
12,海上钢琴师,1998,意大利,剧情 音乐,9.3,1516159,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/
13,三傻大闹宝莱坞,2009,印度,剧情 喜剧 爱情 歌舞,9.2,1694220,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/
14,机器人总动员,2008,美国,科幻 动画 冒险,9.3,1194812,小瓦力，大人生。,https://movie.douban.com/subject/2131459/
15,放牛班的春天,2004,法国 瑞士 德国,剧情 喜剧 音乐,9.3,1179492,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/
16,无间道,2002,中国香港,剧情 犯罪 惊悚,9.3,1191563,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/
17,疯狂动物城,2016,美国,喜剧 动画 冒险,9.2,1701897,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/
18,大话西游之大圣娶亲,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,1385356,一生所爱。,https://movie.douban.com/subject/1292213/
19,熔炉,2011,韩国,剧情,9.3,842802,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/
20,教父,1972,美国,剧情 犯罪,9.3,855286,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/
21,控方证人,1957,美国,剧情 犯罪 悬疑,9.6,446845,比利·怀德满分作品。,https://movie.douban.com/subject/1296141/
22,当幸福来敲门,2006,美国,剧情 传记 家庭,9.2,1373800,平民励志片。 ,https://movie.douban.com/subject/1849031/
23,怦然心动,2010,美国,剧情 喜剧 爱情,9.1,1644972,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/
24,触不可及,2011,法国,剧情 喜剧,9.3,950836,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/
25,龙猫,1988,日本,动画 奇幻 冒险,9.2,1142580,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/
26,末代皇帝,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,9.3,762878,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
27,蝙蝠侠：黑暗骑士,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.2,947294,无尽的黑暗。,https://movie.douban.com/subject/1851857/
28,寻梦环游记,2017,美国,喜剧 动画 奇幻 音乐,9.1,1465369,死亡不是真的逝去，遗忘才是永恒的消亡。,https://movie.douban.com/subject/20495023/
29,活着,1994,中国大陆 中国香港,剧情 历史 家庭,9.3,738266,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/
30,哈利·波特与魔法石,2001,美国 英国,奇幻 冒险,9.1,1026380,童话世界的开端。,https://movie.douban.com/subject/1295038/
31,指环王3：王者无敌,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.3,719414,史诗的终章。,https://movie.douban.com/subject/1291552/
32,乱世佳人,1939,美国,剧情 历史 爱情 战争,9.3,621568,Tomorrow is another day.,https://movie.douban.com/subject/1300267/
33,素媛,2013,韩国,剧情,9.3,608425,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/
34,飞屋环游记,2009,美国,剧情 喜剧 动画 冒险,9.1,1194731,最后那些最无聊的事情，才是最值得怀念的。 ,https://movie.douban.com/subject/2129039/
35,摔跤吧！爸爸,2016,印度,剧情 传记 运动 家庭,9.0,1419722,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/
36,何以为家,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,928250,凝视卑弱生命，用电影改变命运。,https://movie.douban.com/subject/30170448/
37,我不是药神,2018,中国大陆,剧情 喜剧,9.0,1894472,对我们国家而言，这样的电影多一部是一部。,https://movie.douban.com/subject/26752088/
38,十二怒汉,1957,美国,剧情,9.4,425499,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/
39,哈尔的移动城堡,2004,日本,动画 奇幻 冒险,9.1,902368,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/
40,少年派的奇幻漂流,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,1231109,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/
41,鬼子来了,2000,中国大陆,剧情 喜剧,9.3,555871,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/
42,大话西游之月光宝盒,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,1104384,旷古烁今。,https://movie.douban.com/subject/1299398/
43,猫鼠游戏,2002,美国 加拿大,传记 犯罪 剧情,9.1,864236,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/
44,天空之城,1986,日本,动画 奇幻 冒险,9.1,742634,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/
45,天堂电影院,1988,意大利 法国,剧情 爱情,9.2,620787,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/
46,指环王2：双塔奇兵,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.2,671328,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
